時間,風速,風向,温度,湿度,出力
1/13/2006 15:00:00,4.531187011,253.8861667,6.28,67.25,0
1/13/2006 15:15:00,4.129536077,248.2266667,6.28,67.25,0
1/13/2006 15:30:00,2.660636406,257.83175,6.28,67.25,0
1/13/2006 15:45:00,2.641846527,256.2015278,6.417155556,66.58827778,0
1/13/2006 16:00:00,1.78409283,241.3492222,6.632488889,64.77866667,0
1/13/2006 16:15:00,0.75879733,258.9106944,6.6612,63.69805556,0
1/13/2006 16:30:00,1.730343336,261.4708611,6.641955556,64.80055556,0
1/13/2006 16:45:00,3.208042708,249.2538056,6.296755556,69.63,0
1/13/2006 17:00:00,2.963938821,255.0332778,5.877644444,71.88377778,0
1/13/2006 17:15:00,2.030114948,254.49,5.484622222,75.15216667,0
1/13/2006 17:30:00,0.694648489,328.9340833,4.849822222,76.42333333,0
1/13/2006 17:45:00,1.707397477,407.1479167,4.639911111,78.05355556,0
1/13/2006 18:00:00,2.3727745,430.9651944,4.4624,78.30994444,0.320616667
1/13/2006 18:15:00,2.331282343,430.5176389,4.690444444,77.585,0.563266667
1/13/2006 18:30:00,1.398228639,391.7003056,4.768,76.76033333,0
1/13/2006 18:45:00,0.812047764,337.7477222,5.292888889,75.13877778,0
1/13/2006 19:00:00,0.534747504,256.0825833,5.604044444,74.09694444,0
1/13/2006 19:15:00,1.658088694,114.5609722,5.672622222,74.84666667,0.229383333
1/13/2006 19:30:00,1.927768052,120.8744722,5.878177778,75.68444444,0.5605
1/13/2006 19:45:00,2.240141242,105.2576667,6.009511111,75.82455556,0.44475
1/13/2006 20:00:00,2.978692283,117.2120833,5.885733333,77.22166667,0
1/13/2006 20:15:00,3.691466013,94.03586111,5.5612,84.30444444,0.70245
1/13/2006 20:30:00,3.8073655,90.383,5.446711111,91.35416667,1.060116667
1/13/2006 20:45:00,3.576655592,79.93036111,5.446533333,92.43955556,0.693366667
1/13/2006 21:00:00,1.195565837,329.9393889,5.467733333,92.24,0
1/13/2006 21:15:00,1.005127286,290.9565,5.482311111,92.50233333,0
1/13/2006 21:30:00,1.471936714,280.2126389,5.515777778,92.82377778,0
1/13/2006 21:45:00,1.834684407,284.30175,5.559955556,92.62761111,0
1/13/2006 22:00:00,2.48677371,309.8920556,5.520133333,92.69538889,0
1/13/2006 22:15:00,1.485644029,301.3898611,5.660933333,91.09611111,0.059966667
1/13/2006 22:30:00,0.952747226,236.6400278,5.891733333,88.9445,0.10645
1/13/2006 22:45:00,0.875554158,328.7371389,5.8796,89.33816667,0
1/13/2006 23:00:00,2.640352667,414.9776667,5.729733333,92.91177778,0.0046
1/13/2006 23:15:00,1.929944746,415.8955833,5.894488889,93.68116667,0
1/13/2006 23:30:00,1.18951319,291.4228889,5.814666667,93.22677778,0
1/13/2006 23:45:00,3.543667212,261.9320556,5.553422222,94.06733333,0
1/14/2006 0:00:00,3.897143924,262.0872778,5.594933333,94.58166667,0
1/14/2006 0:15:00,4.118613837,253.8904444,5.5816,94.84816667,0
1/14/2006 0:30:00,2.430515722,255.5810556,5.4248,95.38883333,0
1/14/2006 0:45:00,2.416740366,260.8424722,5.443911111,95.5165,0
1/14/2006 1:00:00,3.597757732,263.0926389,5.341422222,95.7915,0.765516667
1/14/2006 1:15:00,3.241154488,262.25025,5.432711111,96.223,0.587383333
1/14/2006 1:30:00,2.846698998,269.7954444,5.4784,96.39955556,0.012516667
1/14/2006 1:45:00,2.59092806,288.1408056,5.527688889,96.71394444,0
1/14/2006 2:00:00,1.763307127,304.7506667,5.588,96.90677778,0
1/14/2006 2:15:00,1.071157623,352.2955,5.607333333,97.0055,0
1/14/2006 2:30:00,0.995449673,406.3736667,5.695111111,97.27233333,0
1/14/2006 2:45:00,1.665353273,275.7064167,5.7972,97.224,0
1/14/2006 3:00:00,3.314161252,246.4030833,5.701955556,96.85627778,0
1/14/2006 3:15:00,3.974120374,262.1324444,5.547422222,96.90883333,0.002616667
1/14/2006 3:30:00,3.981926881,255.9171944,5.616577778,97.15672222,0
1/14/2006 3:45:00,3.682263229,255.4900833,5.675022222,97.30344444,0
1/14/2006 4:00:00,2.842068204,259.2893333,5.805955556,97.17688889,0
1/14/2006 4:15:00,2.918786618,254.1201389,5.842933333,96.98194444,0
1/14/2006 4:30:00,2.594829806,255.4185,5.741155556,97.23166667,0
1/14/2006 4:45:00,3.216113348,249.4891111,5.737955556,97.14088889,0
1/14/2006 5:00:00,2.527537727,255.0403889,5.749155556,97.16166667,0
1/14/2006 5:15:00,3.337471241,252.6714444,5.856711111,96.90861111,0
1/14/2006 5:30:00,2.883797719,247.2448333,6.062,96.30333333,0
1/14/2006 5:45:00,2.528259798,255.1790833,5.961288889,96.52605556,0
1/14/2006 6:00:00,1.947032541,250.8106389,5.993022222,96.51022222,0
1/14/2006 6:15:00,3.313226743,255.6038889,5.941911111,96.44222222,0
1/14/2006 6:30:00,2.507677711,246.30325,6.068577778,96.12805556,0
1/14/2006 6:45:00,2.733933196,252.4448333,6.132311111,96.18188889,0
1/14/2006 7:00:00,2.60379847,258.1537778,6.155377778,96.02472222,0
1/14/2006 7:15:00,2.749906906,250.2520833,6.247333333,95.85038889,0
1/14/2006 7:30:00,4.341393437,249.0562222,6.247155556,95.68844444,0.0403
1/14/2006 7:45:00,6.481387372,248.06875,6.154222222,95.82866667,2.20075
1/14/2006 8:00:00,2.31270645,252.2894444,6.247466667,96.2925,0.142083333
1/14/2006 8:15:00,1.129554431,283.8030556,6.378622222,96.52411111,0.70505
1/14/2006 8:30:00,1.249074316,334.6621944,6.5516,96.212,0
1/14/2006 8:45:00,1.378726174,302.6279444,6.630177778,96.09761111,0
1/14/2006 9:00:00,1.237088273,256.0690278,6.664088889,95.56655556,0
1/14/2006 9:15:00,2.460519197,243.7625833,6.647244444,95.94883333,0
1/14/2006 9:30:00,0.744408251,259.1126806,6.670933333,96.33427778,0
1/14/2006 9:45:00,0.912146954,188.4373611,6.858355556,96.72,0
1/14/2006 10:00:00,0.779677863,206.5986389,6.948888889,96.66627778,0
1/14/2006 10:15:00,1.288668922,257.4481111,6.833644444,96.80005556,0
1/14/2006 10:30:00,1.724059493,275.7116111,6.712977778,96.97494444,0
1/14/2006 10:45:00,1.884794867,271.6633333,6.372711111,97.03772222,0
1/14/2006 11:00:00,2.198744196,253.1608333,6.522133333,97.73494444,0
1/14/2006 11:15:00,5.372437136,253.2500833,6.021355556,94.54847222,0
1/14/2006 11:30:00,2.877946361,247.3878611,6.595733333,97.90094444,0
1/14/2006 11:45:00,2.477646936,177.4751944,6.841288889,98.19183333,0.21525
1/14/2006 12:00:00,7.33555307,119.0245,7.184488889,96.28822222,7.10485
1/14/2006 12:15:00,3.699416561,362.2938889,8.087777778,98.40011111,4.6861
1/14/2006 12:30:00,3.903841019,346.3811667,8.291111111,98.91972222,0.5447
1/14/2006 12:45:00,2.905310296,426.3055556,9.610311111,99.54433333,0.287983333
1/14/2006 13:00:00,4.260670523,433.6276667,12.15208889,99.88433333,2.27645
1/14/2006 13:15:00,6.750298223,443.87475,13.43231111,99.04572222,5.528433333
1/14/2006 13:30:00,6.515919034,443.179,13.91257778,97.48638889,4.99905
1/14/2006 13:45:00,6.789181973,445.2441389,14.0076,97.27216667,8.138716667
1/14/2006 14:00:00,6.160325821,452.1528611,14.22177778,96.8965,6.408416667
1/14/2006 14:15:00,5.231956849,454.4555278,14.22448889,96.744,5.160783333
1/14/2006 14:30:00,3.801049152,450.7707778,14.29004444,97.10527778,4.8776
1/14/2006 14:45:00,6.635841169,446.5755278,14.45577778,96.80516667,8.1294
1/14/2006 15:00:00,5.991644449,449.0898333,14.61137778,95.73488889,5.523116667
1/14/2006 15:15:00,4.436610376,448.2359722,14.72124444,94.774,1.70515
1/14/2006 15:30:00,4.682605663,422.0781667,14.81546667,93.52344444,0.275716667
1/14/2006 15:45:00,3.136321388,384.9293611,14.50444444,93.21605556,2.053383333
1/14/2006 16:00:00,5.017358541,414.3767778,14.6692,92.56027778,2.456916667
1/14/2006 16:15:00,7.742153007,288.2970833,11.79764444,90.22638889,9.223016667
1/14/2006 16:30:00,8.108305693,312.1311111,10.10244444,95.2635,19.36528333
1/14/2006 16:45:00,11.59625923,317.9103611,10.36457778,96.76022222,19.91491667
1/14/2006 17:00:00,12.73303422,320.9861389,10.37391111,96.94338889,20.15543333
1/14/2006 17:15:00,12.43178892,318.6057778,10.36942222,96.98194444,19.96893333
1/14/2006 17:30:00,11.45074225,312.4489444,10.34297778,96.45994444,19.89046667
1/14/2006 17:45:00,12.327894,314.73525,10.42208889,95.95533333,20.17456667
1/14/2006 18:00:00,12.75489156,320.2493889,10.32,95.82677778,19.88925
1/14/2006 18:15:00,13.69803506,317.3207778,10.44146667,95.52166667,19.63951667
1/14/2006 18:30:00,13.44891666,318.8619444,10.6832,93.30927778,19.99321667
1/14/2006 18:45:00,14.74861238,318.9323333,10.83662222,90.52388889,20.12453333
1/14/2006 19:00:00,13.02425248,314.5121944,11.07755556,87.85822222,19.06341667
1/14/2006 19:15:00,10.64918886,312.9440278,10.69995556,86.79994444,15.1656
1/14/2006 19:30:00,12.41509884,313.5042222,10.37524444,85.336,18.47191667
1/14/2006 19:45:00,12.99082924,314.6998333,10.63786667,83.533,17.99495
1/14/2006 20:00:00,15.6592714,313.7097778,10.5872,83.42555556,18.72516667
1/14/2006 20:15:00,16.70269608,308.6026667,10.75768889,82.5895,20.25493333
1/14/2006 20:30:00,14.80352761,300.7758889,10.39173333,83.84616667,20.25573333
1/14/2006 20:45:00,13.7581482,294.7948611,9.849733333,87.33905556,20.22906667
1/14/2006 21:00:00,14.84834846,291.821,9.715777778,87.60427778,20.04353333
1/14/2006 21:15:00,14.02648617,295.4801944,9.446133333,87.7695,19.45986667
1/14/2006 21:30:00,12.60723365,291.4449722,9.273644444,87.36611111,18.90488333
1/14/2006 21:45:00,14.83728058,291.3158056,9.251155556,84.64788889,18.3536
1/14/2006 22:00:00,13.51340883,290.6020278,8.948311111,84.46138889,19.50611667
